name_team_fotmob,shortname_team_fotmob,id_team_fotmob,url_team_fotmob,logo_team_fotmob,season,id_league_fotmob,name_league_fotmob,country_code_fotmob,name_venue,city_venue,lat_venue,lon_venue,Surface,Capacity,Opened,url_photo_stadium
Lens,Lens,8588,https://www.fotmob.com/teams/8588/overview/lens,https://images.fotmob.com/image_resources/logo/teamlogo/8588.png,2026/2027,53,Ligue 1,FRA,Stade Bollaert-Delelis,Lens,50.432866762,2.814940810,Grass,41233,1933,https://cdn.resfu.com/img_data/estadios/original_new/435.jpg?size=720x432c&lossy=1
Lille,Lille,8639,https://www.fotmob.com/teams/8639/overview/lille,https://images.fotmob.com/image_resources/logo/teamlogo/8639.png,2026/2027,53,Ligue 1,FRA,Decathlon Arena - Stade Pierre-Mauroy,Villeneuve d'Ascq,50.611965136,3.130483910,Grass,50083,2012,https://cdn.resfu.com/img_data/estadios/original_new/87.jpg?size=720x432c&lossy=1
Lorient,Lorient,8689,https://www.fotmob.com/teams/8689/overview/lorient,https://images.fotmob.com/image_resources/logo/teamlogo/8689.png,2026/2027,53,Ligue 1,FRA,Stade du Moustoir - Yves Allainmat,Lorient,47.748821296,-3.369020820,Artificial turf,18970,1959,https://cdn.resfu.com/img_data/estadios/original_new/205.jpg?size=720x432c&lossy=1
Lyon,Lyon,9748,https://www.fotmob.com/teams/9748/overview/lyon,https://images.fotmob.com/image_resources/logo/teamlogo/9748.png,2026/2027,53,Ligue 1,FRA,Groupama Stadium,Décines-Charpieu,45.765310356,4.982063884,Grass,61556,2016,https://cdn.resfu.com/img_data/estadios/original_new/62.jpg?size=720x432c&lossy=1
Marseille,Marseille,8592,https://www.fotmob.com/teams/8592/overview/marseille,https://images.fotmob.com/image_resources/logo/teamlogo/8592.png,2026/2027,53,Ligue 1,FRA,Orange Vélodrome,Marseille,43.269870275,5.395853519,Grass,67394,1937,https://cdn.resfu.com/img_data/estadios/original_new/74.jpg?size=720x&lossy=1
Monaco,Monaco,9829,https://www.fotmob.com/teams/9829/overview/monaco,https://images.fotmob.com/image_resources/logo/teamlogo/9829.png,2026/2027,53,Ligue 1,FRA,Stade Louis-II,Monaco,43.727563789,7.415542156,Grass,18523,1985,https://cdn.resfu.com/img_data/estadios/original_new/77.jpg?size=720x432c&lossy=1
Nice,Nice,9831,https://www.fotmob.com/teams/9831/overview/nice,https://images.fotmob.com/image_resources/logo/teamlogo/9831.png,2026/2027,53,Ligue 1,FRA,Allianz Riviera,Nice,43.705119412,7.192622423,Grass,35624,2013,https://cdn.resfu.com/img_data/estadios/original_new/124.jpg?size=720x432c&lossy=1
Paris FC,Paris FC,6379,https://www.fotmob.com/teams/6379/overview/paris-fc,https://images.fotmob.com/image_resources/logo/teamlogo/6379.png,2026/2027,53,Ligue 1,FRA,Stade Jean Bouin,Paris,48.843148388,2.252916098,Artificial turf,20000,1925,https://cdn.resfu.com/img_data/estadios/original_new/4237.jpg?size=720x432c&lossy=1
Paris Saint-Germain,PSG,9847,https://www.fotmob.com/teams/9847/overview/paris-saint-germain,https://images.fotmob.com/image_resources/logo/teamlogo/9847.png,2026/2027,53,Ligue 1,FRA,Parc des Princes,Paris,48.841433445,2.253048867,Grass,47929,1897,https://cdn.resfu.com/img_data/estadios/original_new/46.jpg?size=720x432c&lossy=1
Rennes,Rennes,9851,https://www.fotmob.com/teams/9851/overview/rennes,https://images.fotmob.com/image_resources/logo/teamlogo/9851.png,2026/2027,53,Ligue 1,FRA,Roazhon Park,Rennes,48.107467009,-1.712884158,Grass,31127,1912,https://cdn.resfu.com/img_data/estadios/original_new/97.jpg?size=720x432c&lossy=1
